YEAR,MONTH,IDADMIN1,IDADMIN2,ADMIN1,ADMIN2,CLIN,CONF_TOTAL,CONF_MIC,CONF_RDT,CONF_PCR,POS_0_11_MO_M,POS_0_11_MO_F,PO_1_4_YO_M,PO_1_4_YO_F,POS_5_9_YO_M,POS_5_9_YO_F,POS_10_14_YO_M,POS_10_14_YO_F,POS_15_64_YO_M,POS_15_64_YO_F,POS_OVER_64_M,POS_OVER_64_F,POS_0_4,POS_5_9,POS_10_14,POS_15_64,POS_OVER_64,POS_PREGNANT,POS_PF,POS_PV,POS_PM_PO,POS_MIX,POS_PK,POS_MALE,POS_FEMALE,POS_GENDER_TOTAL,POS_SPECIES_TOTAL
2019,8,94,9427,PAPUA,SUPIORI,180,180,71,109,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,3,2,0,0,0,2,3,5,5
2019,8,94,9428,PAPUA,MAMBERAMO RAYA,120,817,746,71,0,37,0,147,0,126,0,43,0,385,0,4,0,184,126,43,385,4,0,634,85,0,23,0,390,352,742,742
2019,8,94,9429,PAPUA,NDUGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,8,94,9430,PAPUA,LANNY JAYA,0,54,16,38,0,0,0,1,0,1,0,1,0,6,0,0,0,1,1,1,6,0,0,2,0,0,7,0,8,1,9,9
2019,8,94,9431,PAPUA,MAMBERAMO TENGAH,0,58,15,43,0,0,0,0,0,1,0,2,0,5,0,0,0,0,1,2,5,0,0,2,3,0,3,0,4,4,8,8
2019,8,94,9432,PAPUA,YALIMO,261,262,251,11,0,0,0,4,0,0,0,0,0,12,0,0,0,4,0,0,12,0,0,4,10,0,2,0,10,6,16,16
2019,8,94,9433,PAPUA,PUNCAK,0,98,48,50,0,2,0,2,0,5,0,5,0,56,0,0,0,4,5,5,56,0,0,24,33,0,13,0,48,22,70,70
2019,8,94,9434,PAPUA,DOGIYAI,23,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,8,94,9435,PAPUA,INTAN JAYA,0,81,0,81,0,0,0,1,0,0,0,0,0,9,0,0,0,1,0,0,9,0,0,2,8,0,0,0,3,7,10,10
2019,8,94,9436,PAPUA,DEIYAI,0,10,0,10,0,0,0,0,0,2,0,1,0,2,0,0,0,0,2,1,2,0,0,2,3,0,0,0,2,3,5,5
2019,8,94,9471,PAPUA,KOTA JAYAPURA,4440,7285,6957,328,0,9,0,154,0,225,0,198,0,1507,0,26,0,163,225,198,1507,26,0,1200,828,17,79,0,1354,765,2119,2124
2019,9,91,9101,PAPUA BARAT,FAKFAK,1955,2175,1981,194,0,1,0,3,0,5,0,3,0,10,0,1,0,4,5,3,10,1,0,12,7,0,4,0,17,6,23,23
